"","X1","X2"
"ENSG00000273874.1",-5.15314784815394,-15.2984502489862
"ENSG00000278757.1",-5.33074844060619,-15.2071272049952
"ENSG00000283574.1",-5.03253978711037,-15.3054095417738
"ENSG00000241180.1",-5.36666936591928,-15.2966061641114
"ENSG00000284372.1",-5.17179000126023,-15.5522574117714
"ENSG00000283572.1",-5.20643938477659,-15.3897117883106
"ENSG00000207776.1",-5.0858033338685,-15.3605930944253
"ENSG00000283356.1",-5.13550780527998,-15.3126773354123
"ENSG00000264341.1",-5.05971158366798,-15.403174024167
"ENSG00000264101.1",-5.31877446909529,-15.0463915870286
"ENSG00000265392.1",-5.17408299731899,-15.2831525644597
"ENSG00000265521.1",-5.46990986886252,-15.5083683418855
"ENSG00000264881.1",-5.42557700413778,-15.5488230417019
"ENSG00000270914.1",-5.35052900848894,-15.3553948133066
"ENSG00000283789.1",-5.37038426670829,-15.3544001235194
"ENSG00000207434.1",-5.45348159239852,-15.3360520780403
"ENSG00000274764.5",-5.16211060906224,-15.3744467706323
"ENSG00000229571.7",-5.0941656859014,-15.1385871818329
"ENSG00000280267.4",-5.2355478316228,-15.2352062639297
"ENSG00000204505.4",-5.41149137842626,-15.3580470304309
"ENSG00000279169.2",-5.13316149406006,-15.4268719632128
"ENSG00000270601.4",-5.52113874884016,-15.1739039761824
"ENSG00000207511.1",-5.28902328597102,-15.3342727170756
"ENSG00000237700.2",-5.11498129233416,-15.5100086592615
"ENSG00000204501.7",-5.30707022653677,-15.1475457412798
"ENSG00000228229.2",-5.1705360666348,-15.1369782883293
"ENSG00000222952.1",-5.37305856273797,-15.3568644292176
"ENSG00000252151.1",-5.10963894316903,-15.5691470136823
"ENSG00000252417.1",-5.0589360536755,-15.5778450255507
"ENSG00000277344.1",-5.36434419207513,-15.1821890413257
"ENSG00000207513.1",-5.27205984723792,-15.4648387525386
"ENSG00000207389.1",-5.1897534278788,-15.3723718393171
"ENSG00000263811.1",-5.16001310730093,-15.1999745943296
"ENSG00000225478.2",-5.11136380810133,-15.3023595931602
"ENSG00000265606.1",-5.20995137900335,-15.1223137418253
"ENSG00000221662.1",-5.33729423158508,-15.5336949489402
"ENSG00000221808.1",-5.50465353091613,-15.0661949897971
"ENSG00000266564.1",-5.25491286147757,-15.2583293076328
"ENSG00000265422.1",-4.96945443537819,-15.2648915474008
"ENSG00000264014.1",-5.07591809529058,-15.1434618247889
"ENSG00000264926.1",-5.4256143588035,-15.1867789870512
"ENSG00000230703.1",-5.0682854022171,-15.5396862912121
"ENSG00000239106.1",-5.37849898816525,-15.46967002141
"ENSG00000278034.1",-5.39160665470614,-15.4008319334058
"ENSG00000259984.1",-5.420918073177,-15.4194233459429
"ENSG00000252691.1",-5.36617927000873,-15.5349295653823
"ENSG00000243905.3",-4.93416650495299,-15.3953488455941
"ENSG00000252802.1",-5.22481705424526,-15.2752173906019
"ENSG00000252429.2",-5.017012958963,-15.3720802297728
"ENSG00000238316.1",-5.47247908061084,-15.5001313893156
"ENSG00000206767.1",-4.92067963259136,-15.172217884576
"ENSG00000207095.1",-5.49010860878579,-15.419582808669
"ENSG00000274582.1",-5.37976273319145,-15.2176309507779
"ENSG00000274978.1",-5.06573265237575,-15.1288504698436
"ENSG00000206704.1",-5.10722005060647,-15.459498328342
"ENSG00000270927.1",-5.09893145051773,-15.5172674207038
"ENSG00000231251.1",-5.35889447865727,-15.1826541274737
"ENSG00000222784.1",-5.09703001731506,-15.3003035653231
"ENSG00000206981.1",-5.34711219418387,-15.4076574101192
"ENSG00000265961.1",-5.36800089849101,-15.3435966767983
"ENSG00000266580.1",-5.17870448498299,-15.2014651061808
"ENSG00000266203.1",-5.58969597023471,-15.4336692978821
"ENSG00000252450.1",-5.17184237914031,-15.445637126174
"ENSG00000227000.2",-5.22611734535236,-15.3318273095938
"ENSG00000201148.1",-5.12549275861338,-15.2014059166687
"ENSG00000207941.1",-5.32635594038806,-15.2656771332414
"ENSG00000264698.1",-5.23232083487328,-15.1700645783512
"ENSG00000207328.1",-5.21128240447014,-15.4270569856834
"ENSG00000283724.1",-5.23511760174054,-15.3587479742686
"ENSG00000263675.1",-5.34826930568655,-15.1369486546427
"ENSG00000265596.1",-5.26676334591028,-15.1222684111487
"ENSG00000275350.1",-5.51090904048185,-15.4385568394513
"ENSG00000200796.1",-5.29121467669461,-15.3426334430986
"ENSG00000206654.1",-5.09747581747612,-15.3621161170754
"ENSG00000252413.1",-5.09547495365085,-15.5281948993414
"ENSG00000229213.1",-5.37017119660226,-15.2260200326864
"ENSG00000207356.1",-5.32387435558655,-15.0473008714446
"ENSG00000207508.1",-5.39004687797743,-15.3745135413342
"ENSG00000227278.1",-5.13830671974422,-15.3904326646092
"ENSG00000207962.1",-5.30860426450915,-15.0601673154301
"ENSG00000283477.1",-5.0815152200025,-15.2173745872103
"ENSG00000271647.1",-5.54690341270968,-15.2818168796945
"ENSG00000227994.1",-5.12954572194008,-15.4989035543147
"ENSG00000199385.1",-5.39255924729296,-15.443543425741
"ENSG00000263381.1",-5.38867033561679,-15.2457848518432
"ENSG00000281133.1",-5.07751007882259,-15.3804838214506
"ENSG00000280836.1",-5.27161871781493,-15.3639561399725
"ENSG00000281112.1",-5.14897718724687,-15.1549887762512
"ENSG00000281825.1",-5.55353415397252,-15.3043014793393
"ENSG00000206700.1",-5.21290840909057,-15.1278926451483
"ENSG00000265538.1",-5.51779581251106,-15.3613704687104
"ENSG00000275816.1",-5.40593571616179,-15.4876630420686
"ENSG00000206595.1",-5.60543361651369,-15.3920290394236
"ENSG00000252032.1",-5.21744634372296,-15.5423926732078
"ENSG00000283899.1",-5.06031615018566,-15.4107072393476
"ENSG00000239640.3",-5.26046858127662,-15.3160327556966
"ENSG00000266188.1",-5.43537150510091,-15.4113550441513
"ENSG00000265815.1",-5.15021158211047,-15.2784987677581
"ENSG00000239007.1",-5.36262382115699,-15.2438717555201
"ENSG00000283749.1",-5.20741333812081,-15.4276598875128
"ENSG00000237173.1",-5.238791815978,-15.2706064410915
"ENSG00000242396.1",-5.03175069469527,-15.3709108186742
"ENSG00000265822.1",-5.42630004608367,-15.4133598832512
"ENSG00000232198.2",-5.28193766144033,-15.3618346216666
"ENSG00000252162.1",-5.05935588981243,-15.4466443284327
"ENSG00000272051.1",-5.09740795241727,-15.5589667307297
"ENSG00000230546.1",-5.34444573467377,-15.165050312289
"ENSG00000266150.1",-5.27033443538253,-15.1468423052038
"ENSG00000212360.1",-5.28069506619285,-15.3798279345948
"ENSG00000263908.1",-5.10000687872245,-15.0861176290958
"ENSG00000234204.1",-5.26422900317458,-15.2671588743354
"ENSG00000201153.1",-5.17394300200479,-15.303289773834
"ENSG00000252259.1",-5.51925163905797,-15.468931041284
"ENSG00000275836.1",-5.27474465423902,-15.4179422279878
"ENSG00000252784.1",-5.49738840268365,-15.2981771476491
"ENSG00000251720.1",-5.42209497801301,-15.1139177853782
"ENSG00000207190.1",-5.48862916866586,-15.3198740225756
"ENSG00000238653.1",-5.10049843648883,-15.2056718444689
"ENSG00000264470.1",-5.4407319980133,-15.3186971079818
"ENSG00000199135.1",-5.5669468455093,-15.4052571915417
"ENSG00000223152.1",-5.21289631621252,-15.1362595625001
"ENSG00000253074.1",-5.38503265281007,-15.3557384840022
"ENSG00000252116.1",-5.09728511205346,-15.2130946841745
